WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_34,GemiddeldeHuishoudensgrootte_33,HuishoudensMetKinderen_32,HuishoudensTotaal_29,MateVanStedelijkheid_122,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,GeregistreerdeMisdrijven_1,crime_property,crime_violence,crime_vandalism,cluster_id,cluster_label_short,cluster_label_long,pca_x,pca_y,buurt_naam
BU0363AE05,Amsterdam                               ,Buurt     ,BU0363AE05,730,8636.0,1.4,35,540,1.0,35,155,315,140,95,366.0,150.0,6.0,25.0,11,label_short,label_long,0.3701472068727929,-3.166290378414624,BG-terrein e.o.
BU05230302,Hardinxveld-Giessendam                  ,Buurt     ,BU05230302,1310,5134.0,2.3,185,540,4.0,220,145,335,280,325,34.0,14.0,1.0,2.0,5,label_short,label_long,-0.2479206352508059,0.3388648606330266,BH oost
BU05230301,Hardinxveld-Giessendam                  ,Buurt     ,BU05230301,1815,7705.0,2.3,315,780,4.0,370,205,510,425,305,58.0,18.0,0.0,11.0,5,label_short,label_long,0.787434269848628,0.517510059894578,BH west
BU04895072,Barendrecht                             ,Buurt     ,BU04895072,65,142.0,1.2,0,55,3.0,0,10,50,5,0,92.0,37.0,1.0,8.0,8,label_short,label_long,-1.7396824561735102,-1.9111582459757492,BT Dierenstein
BU04895084,Barendrecht                             ,Buurt     ,BU04895084,25,130.0,2.6,0,10,3.0,5,0,0,10,0,18.0,7.0,0.0,2.0,0,label_short,label_long,-2.2882225522598194,-0.1000613678693883,BT Vaanpark 4
BU07771004,Etten-Leur                              ,Buurt     ,BU07771004,770,5867.0,2.0,120,395,2.0,115,95,225,185,155,45.0,7.0,6.0,8.0,11,label_short,label_long,-0.524013608665864,-1.0290049843905276,Baai 1
BU07771005,Etten-Leur                              ,Buurt     ,BU07771005,900,7505.0,2.2,145,410,2.0,165,105,270,220,130,53.0,12.0,5.0,8.0,11,label_short,label_long,-0.3206040728831711,-0.8223035148015884,Baai 2
BU07771006,Etten-Leur                              ,Buurt     ,BU07771006,830,3175.0,2.6,145,325,2.0,155,100,215,220,145,38.0,13.0,2.0,4.0,11,label_short,label_long,-0.7751039996581005,0.0057237211937535,Baai 3
BU07771007,Etten-Leur                              ,Buurt     ,BU07771007,790,5557.0,2.2,135,355,2.0,130,85,205,205,165,32.0,7.0,3.0,6.0,11,label_short,label_long,-0.6141759192720369,-0.6692089658826883,Baai 4
BU0363MH05,Amsterdam                               ,Buurt     ,BU0363MH05,750,3236.0,1.1,5,710,2.0,0,525,215,10,5,46.0,15.0,3.0,5.0,11,label_short,label_long,-0.314430786194095,-2.156636744984189,Baaibuurt-Oost
BU0363MH04,Amsterdam                               ,Buurt     ,BU0363MH04,320,1889.0,1.3,15,250,2.0,10,140,115,35,15,54.0,18.0,4.0,5.0,11,label_short,label_long,-1.2056409225336604,-1.970832301274132,Baaibuurt-West
BU05020448,Capelle aan den IJssel                  ,Buurt     ,BU05020448,1395,8126.0,2.0,205,705,2.0,200,125,325,380,365,45.0,11.0,5.0,6.0,11,label_short,label_long,0.4412883502951426,-0.6824658855312215,Baaienbuurt
BU19491700,Waadhoeke                               ,Buurt     ,BU19491700,105,51.0,2.3,15,50,5.0,15,10,25,35,25,2.0,0.0,0.0,1.0,8,label_short,label_long,-2.3682526420143053,0.1404630866778295,Baaium
BU18760302,Bronckhorst                             ,Buurt     ,BU18760302,525,1342.0,2.2,75,240,5.0,70,50,95,175,135,10.0,0.0,1.0,4.0,8,label_short,label_long,-1.650310314317146,0.2131636660116803,Baak
BU17110166,Echt-Susteren                           ,Buurt     ,BU17110166,30,599.0,2.1,0,15,5.0,5,5,0,20,5,2.0,1.0,0.0,0.0,8,label_short,label_long,-2.414082056837072,-0.1813115674335167,Baakhoven
BU01602806,Hardenberg                              ,Buurt     ,BU01602806,3290,1655.0,2.5,555,1320,4.0,585,465,815,830,600,78.0,13.0,11.0,13.0,1,label_short,label_long,2.711819054853178,2.125717654791611,Baalder
BU01602807,Hardenberg                              ,Buurt     ,BU01602807,3855,2562.0,2.6,635,1400,4.0,685,515,885,1140,630,108.0,21.0,12.0,20.0,1,label_short,label_long,3.564194869892287,2.507361984035461,Baalderveld
BU07360802,De Ronde Venen                          ,Buurt     ,BU07360802,390,43.0,2.6,65,155,5.0,65,40,85,115,80,58.0,10.0,1.0,18.0,0,label_short,label_long,-1.8163657862180709,0.4911524389069205,Baambrugge Buitengebied
BU07360801,De Ronde Venen                          ,Buurt     ,BU07360801,1070,4366.0,2.3,175,455,5.0,225,90,240,285,240,24.0,2.0,1.0,9.0,5,label_short,label_long,-0.6593513974166891,0.5241912254767939,Baambrugge Dorp
BU19790948,Eemsdelta                               ,Buurt     ,BU19790948,20,651.0,2.5,5,10,5.0,5,5,0,5,5,0.0,0.0,0.0,0.0,0,label_short,label_long,-2.516712678298423,0.2747446964919111,Baamsum
BU18830201,Sittard-Geleen                          ,Buurt     ,BU18830201,3190,5339.0,1.8,400,1735,2.0,325,305,730,900,930,190.0,52.0,14.0,29.0,1,label_short,label_long,3.328852813010383,-0.0156221519522883,Baandert
BU06100102,Sliedrecht                              ,Buurt     ,BU06100102,45,404.0,2.2,10,20,4.0,5,5,15,15,5,19.0,5.0,3.0,1.0,8,label_short,label_long,-2.250127337358924,-0.3499726192575776,Baanhoek-Bedrijven
BU06100105,Sliedrecht                              ,Buurt     ,BU06100105,360,3077.0,2.4,55,150,4.0,55,55,80,95,70,14.0,4.0,0.0,3.0,8,label_short,label_long,-1.728857850586666,-0.0483314917230701,Baanhoek-Oost
BU06100101,Sliedrecht                              ,Buurt     ,BU06100101,2155,4354.0,2.9,400,745,4.0,580,220,785,400,170,82.0,24.0,6.0,11.0,5,label_short,label_long,1.0302487448135074,1.5977598605132284,Baanhoek-West
BU04390505,Purmerend                               ,Buurt     ,BU04390505,120,39.0,2.3,20,50,4.0,10,15,25,50,20,215.0,34.0,20.0,51.0,8,label_short,label_long,-1.4163322506287028,-1.003769868681828,Baanstee en omgeving
BU00808115,Leeuwarden                              ,Buurt     ,BU00808115,205,82.0,2.5,30,80,5.0,35,30,30,65,50,6.0,1.0,0.0,2.0,0,label_short,label_long,-2.253791586836916,0.4366467281917079,Baard
