WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU01480108,49737,1
BU01480109,49750,18
BU01480110,49763,4
BU01480111,49776,31
BU01480112,49789,12
BU01480113,49802,1
BU01480114,49815,28
BU01480115,49828,11
BU01480116,49841,5
BU01480117,49854,6
BU01480118,49867,12
BU01480119,49880,19
BU01480201,49906,34
BU01480202,49919,20
BU01480203,49932,16
BU01480204,49945,16
BU01480205,49958,19
BU01480206,49971,5
BU01480207,49984,0
BU01480208,49997,11
BU01480209,50010,1
BU01480210,50023,15
BU01480211,50036,1
BU01480301,50062,10
BU01480302,50075,19
BU01480303,50088,6
BU01480304,50101,3
BU01480305,50114,15
BU01480306,50127,3
BU01500101,52311,562
BU01500102,52324,113
BU01500103,52337,31
BU01500104,52350,25
BU01500105,52363,532
BU01500106,52376,31
BU01500107,52389,79
BU01500201,52415,43
BU01500301,52441,67
BU01500302,52454,83
BU01500303,52467,43
BU01500304,52480,70
BU01500305,52493,55
BU01500306,52506,131
BU01500401,52532,120
BU01500402,52545,93
BU01500403,52558,52
BU01500404,52571,168
BU01500405,52584,77
BU01500406,52597,126
BU01500407,52610,44
BU01500501,52636,141
BU01500502,52649,38
BU01500601,52675,191
BU01500602,52688,81
BU01500603,52701,59
BU01500604,52714,106
BU01500605,52727,74
BU01500606,52740,25
BU01500701,52766,46
BU01500702,52779,153
BU01500703,52792,44
BU01500704,52805,159
BU01500705,52818,89
BU01500706,52831,42
BU01500801,52857,85
BU01500802,52870,45
BU01500803,52883,40
BU01500901,52909,31
BU01500902,52922,39
BU01500903,52935,4
BU01500904,52948,14
BU01500905,52961,39
BU01500906,52974,34
BU01500907,52987,9
BU01501001,53013,84
BU01501002,53026,47
BU01501003,53039,23
BU01501004,53052,105
BU01501005,53065,17
BU01501006,53078,40
BU01501007,53091,18
BU01501008,53104,25
BU01501009,53117,11
BU01501010,53130,0
BU01501101,53156,63
BU01501102,53169,14
BU01501103,53182,10
BU01501201,53208,127
BU01501202,53221,12
BU01501301,53247,3
BU01501401,53273,3
BU01501402,53286,1
