WijkenEnBuurten,ID,GeregistreerdeMisdrijven_1
BU00344401,411899650,71.0
BU00344402,411900417,109.0
BU00344403,411901184,16.0
BU00344501,411902718,69.0
BU00344502,411903485,165.0
BU00344503,411904252,26.0
BU00344504,411905019,2.0
BU00344505,411905786,28.0
BU00344601,411907320,116.0
BU00344602,411908087,59.0
BU00344603,411908854,34.0
BU00344701,411910388,96.0
BU00344702,411911155,44.0
BU00344703,411911922,41.0
BU00344704,411912689,42.0
BU00344801,411914223,63.0
BU00344802,411914990,45.0
BU00344803,411915757,85.0
BU00344804,411916524,52.0
BU00344901,411918058,99.0
BU00344902,411918825,43.0
BU00344903,411919592,124.0
BU00344904,411920359,8.0
BU00345001,411921893,51.0
BU00345002,411922660,321.0
BU00345101,411924194,54.0
BU00345102,411924961,57.0
BU00345103,411925728,34.0
BU00345104,411926495,110.0
BU00345105,411927262,4.0
BU00345201,411928796,82.0
BU00345202,411929563,40.0
BU00345203,411930330,68.0
BU00345204,411931097,73.0
BU00345205,411931864,38.0
BU00345206,411932631,54.0
BU00345207,411933398,22.0
BU00345301,411934932,16.0
BU00345302,411935699,4.0
BU00345601,411937233,18.0
BU00345602,411938000,49.0
BU00345701,411939534,68.0
BU00345702,411940301,58.0
BU00345801,411941835,18.0
BU00345901,411943369,11.0
BU00345902,411944136,104.0
BU00346001,411945670,85.0
BU00346101,411947204,113.0
BU00346102,411947971,170.0
BU00346103,411948738,31.0
BU00346201,411950272,64.0
BU00346202,411951039,108.0
BU00346301,411952573,86.0
BU00346302,411953340,89.0
BU00346303,411954107,46.0
BU00346304,411954874,78.0
BU00346401,411956408,142.0
BU00346501,411957942,104.0
BU00346601,411959476,58.0
BU00346602,411960243,132.0
BU00347101,411961777,22.0
BU00347201,411963311,22.0
BU00347301,411964845,8.0
BU00347401,411966379,2.0
BU00347402,411967146,60.0
BU00347501,411968680,16.0
BU00347502,411969447,23.0
BU00347503,411970214,4.0
BU00347504,411970981,0.0
BU00347601,411972515,38.0
BU00347602,411973282,0.0
BU00347603,411974049,75.0
BU00347604,411974816,2.0
BU00347701,411976350,90.0
BU00347702,411977117,104.0
BU00347703,411977884,2.0
BU00347901,411979418,8.0
BU00348501,411980952,0.0
BU00348502,411981719,63.0
BU00349615,411983253,22.0
BU00370100,422278694,482.0
BU00370101,422279461,88.0
BU00370102,422280228,109.0
BU00370103,422280995,130.0
BU00370104,422281762,46.0
BU00370105,422282529,60.0
BU00370106,422283296,71.0
BU00370107,422284063,29.0
BU00370108,422284830,109.0
BU00370109,422285597,47.0
BU00370110,422286364,126.0
BU00370111,422287131,39.0
BU00370112,422287898,16.0
BU00370200,422289432,207.0
BU00370201,422290199,32.0
BU00370202,422290966,71.0
BU00370203,422291733,76.0
BU00370300,422293267,48.0
BU00370301,422294034,0.0
BU00370308,422294801,20.0
BU00370309,422295568,30.0
BU00370400,422297102,34.0
BU00370401,422297869,3.0
BU00370402,422298636,4.0
BU00370409,422299403,24.0
BU00370500,422300937,50.0
BU00370509,422301704,18.0
BU00470000,423469845,408.0
BU00470001,423470612,385.0
BU00470002,423471379,50.0
BU00470003,423472146,182.0
BU00470004,423472913,152.0
BU00470005,423473680,386.0
BU00470006,423474447,88.0
BU00470007,423475214,60.0
BU00470100,423476748,14.0
BU00470101,423477515,44.0
BU00470102,423478282,18.0
BU00470109,423479049,42.0
BU00470200,423480583,137.0
BU00470201,423481350,37.0
BU00470202,423482117,26.0
BU00470203,423482884,14.0
BU00470209,423483651,30.0
BU00500000,425141905,231.0
BU00500001,425142672,142.0
BU00500002,425143439,205.0
BU00500003,425144206,224.0
BU00500004,425144973,125.0
BU00500005,425145740,4.0
BU00500006,425146507,301.0
BU00500007,425147274,46.0
BU00500008,425148041,38.0
